Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
Wnt;Joseph Paintsil;16-20;AM (L);Winger;Yes;AM (RL);15-19;9-13;2-6;13-17;17-20;6-12;8-14;4-8;1-4;9-15;B-;Intelligence;Speed;England;Very Strong;Ghana;False;Weak;169 cm;27;Scouting Required;Minimal Knowledge;Very Low;3-7;10-14;12-16;1-7;8-14;5-9;1-7;12-18;11-15;13-17;13-17;3-7;U.S.A.;MLS;4-10;6-10;10-14;2-6;12-16;7-11;LA Galaxy;6-12;10-14;10-16;7-11;14-18;11-17;9-13;13-17;1-5;1-5;1-5;1-5;1-5;1-3;1-4;1-5;1-3;1-5;€12M - €18.5M;B-
;Víctor Gómez;14;WB (R);Attacking full-back;Yes;D/WB/M (R);13;17;5;12;14;14;11;7;10;15;B-;Heading;Speed;Scotland;Very Strong;Spain;True;Reasonable;169 cm;25;Perfect;Extensive Knowledge;Very Low;10;9;14;12;8;7;1;14;8;10;13;12;Portugal;Premier League;12;16;12;13;13;10;BRG;15;11;13;12;8;15;16;9;1;2;2;1;3;2;3;4;1;3;€22M - €33M;B-
;Vitor Carvalho;12;DM;Defensive midfielder;Yes;D (C), DM;13;14;14;13;12;14;15;7;14;12;B-;Unknown;Heading;Brazil;Very Strong;Brazil;True;Reasonable;186 cm;28;Good;Extensive Knowledge;Very Low;12;12;11;7;10;16;1;11;10;8;9;7;Portugal;Premier League;14;16;8;15;13;13;BRG;12;10;14;17;16;10;13;11;1;2;2;2;2;2;2;1;2;3;€20M - €24M;B-
;Sergi Roberto;12;DM;Experienced midfielder;Yes;D/WB (R), DM, M (C);11;13;9;11;11;11;11;6;10;14;B-;Unknown;Team Player;England;Very Strong;Spain;True;Reasonable;178 cm;33;Quite Good;Extensive Knowledge;High;11;12;15;5;9;7;2;14;10;12;12;7;Italy;Second Division;15;17;15;13;13;15;Como;15;11;16;14;11;13;12;13;1;3;1;3;1;1;3;3;4;1;€150K - €1.5M;B-
Wnt;Mohamed Bamba;14;ST (C);Forward;Yes;ST (C);15;12;12;14;14;12;13;9;6;10;B-;Unknown;Unknown;;Very Strong;;False;Fairly Strong;185 cm;23;Fairly Good;None;Average;10;13;12;7;11;12;3;12;13;12;10;7;France;Ligue 1 McDonald's;14;12;10;6;13;6;;11;11;14;11;13;12;12;13;2;4;2;2;2;3;1;3;2;4;€3.3M - €6.6M;B-
;Callum O'Hare;13;AM (C);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);14;14;6;12;12;14;9;9;8;15;B-;Unknown;Skill;England;Very Strong;England;True;Reasonable;173 cm;27;Really Good;Extensive Knowledge;Above Average;10;10;14;6;11;8;1;13;12;17;11;11;England;Sky Bet Championship;17;14;12;10;14;9;;12;16;15;11;13;10;11;11;2;1;3;1;2;2;2;3;2;1;€16M - €24M;B-
;Lamare Bogarde;13;DM;Hard working midfielder;Yes;D (RC), DM, M (C);13;13;11;13;12;12;12;11;12;13;B-;Heading;Team Player;;Very Strong;Netherlands;True;Reasonable;183 cm;21;Very Good;Extensive Knowledge;Below Average;14;11;13;5;10;12;3;13;8;11;8;7;England;Sky Bet Championship;15;15;12;13;9;12;;11;8;12;11;12;13;13;12;2;2;2;3;1;3;2;1;2;3;Not for Sale;B-
Wnt;Mohamed Bamba;14;ST (C);Forward;Yes;ST (C);15;12;12;14;14;12;13;9;6;10;B-;Unknown;Unknown;Guinea;Very Strong;Ivory Coast;False;Fairly Strong;185 cm;23;Fairly Good;None;Average;10;13;12;7;11;12;3;12;13;12;10;7;France;Ligue 1 McDonald's;14;12;10;6;13;6;FC Lorient;11;11;14;11;13;12;12;13;2;4;2;2;2;3;1;3;2;4;€3.3M - €6.6M;B-
;Callum O'Hare;13;AM (C);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);14;14;6;12;12;14;9;9;8;15;B-;Unknown;Skill;England;Very Strong;England;True;Reasonable;173 cm;27;Really Good;Extensive Knowledge;Above Average;10;10;14;6;11;8;1;13;12;17;11;11;England;Sky Bet Championship;17;14;12;10;14;9;Sheffield United;12;16;15;11;13;10;11;11;2;1;3;1;2;2;2;3;2;1;€16M - €24M;B-
;Lamare Bogarde;13;DM;Hard working midfielder;Yes;D (RC), DM, M (C);13;13;11;13;12;12;12;11;12;13;B-;Heading;Team Player;Suriname;Very Strong;Netherlands;True;Reasonable;183 cm;21;Very Good;Extensive Knowledge;Below Average;14;11;13;5;10;12;3;13;8;11;8;7;England;Sky Bet Championship;15;15;12;13;9;12;Millwall;11;8;12;11;12;13;13;12;2;2;2;3;1;3;2;1;2;3;Not for Sale;B-
;Axel Tuanzebe;15;D (R);Centre-back;Yes;D (RC);14;13;13;12;15;12;14;5;13;12;B-;Unknown;Speed;England;Very Strong;DR Congo;False;Reasonable;185 cm;27;Okay;Extensive Knowledge;Above Average;14;9;13;7;4;12;3;13;5;12;6;4;England;R1 - Occitanie - A;13;11;8;14;6;12;Burnley;11;7;14;12;14;12;15;13;3;1;2;3;2;3;2;2;3;1;€22M - €26M;B-
;Terem Moffi;15;ST (C);Striker;Yes;ST (C);12;15;13;10;15;13;16;9;7;13;B-;Unknown;Speed;DR Congo;Weak;Nigeria;False;Very Strong;188 cm;26;Extremely Good;Extensive Knowledge;Very Low;7;13;11;7;12;12;2;13;13;13;8;7;Portugal;Premier League;10;13;13;7;13;7;FC Porto;11;14;11;12;11;12;12;14;1;2;4;1;2;3;1;3;4;2;€5.4M - €6.6M;B-
;Aaron Wan-Bissaka;16;D (R);Full-back;Yes;D (R);18;15;10;15;15;15;13;4;12;11;B-;Heading;Speed;England;Very Strong;England;False;Weak;182 cm;27;Fairly Okay;Extensive Knowledge;Below Average;19;5;11;8;5;8;3;12;7;13;11;5;England;Premier League;13;16;6;13;12;6;West Ham;12;12;10;12;15;12;12;17;3;3;3;2;1;3;3;1;1;2;€31M - €38M;B-
Inj;Borja Mayoral;11;ST (C);Striker;Yes;ST (C);14;14;11;7;11;8;11;8;6;16;B-;Intelligence;Skill;Nigeria;Very Strong;Spain;True;Fairly Strong;182 cm;28;Slightly Poor;Extensive Knowledge;Very High;7;17;14;4;12;15;1;16;16;13;10;6;Spain;First Division;13;13;12;7;16;9;Getafe;15;13;16;14;16;16;15;10;1;2;2;2;1;3;2;2;2;1;€20M;B-
;Tom Davies;13;DM;Midfielder;Yes;DM, M (C);15;13;10;15;12;16;12;10;10;14;B-;Unknown;Team Player;Ireland;Very Strong;England;False;Reasonable;179 cm;27;Good;Extensive Knowledge;High;14;8;13;2;7;10;2;13;8;12;10;9;England;Sky Bet Championship;15;15;11;14;11;9;Sheffield United;11;14;14;14;15;12;14;15;4;3;3;1;2;1;3;3;1;3;€650K - €8.4M;B-
;Hamza Choudhury;13;DM;Defensive midfielder;Yes;D (RL), DM;11;13;11;14;12;16;11;7;12;12;B-;Unknown;Team Player;England;Very Strong;England;False;Reasonable;178 cm;27;Exceptional;Extensive Knowledge;Below Average;15;8;12;11;9;11;2;12;6;11;9;6;England;Second League;15;14;12;11;8;12;;11;11;14;12;17;11;12;14;1;3;1;3;2;3;2;2;4;3;€5.2M - €9.2M;B-
;Batista Mendy;12;DM;Strong defensive midfielder;Yes;DM, M (C);13;12;15;15;15;16;17;8;13;13;B-;Unknown;Athleticism;Pays Basque;Very Strong;France;True;Fairly Strong;191 cm;25;Slightly Poor;Extensive Knowledge;Below Average;15;6;13;4;7;14;2;12;8;12;9;8;Spain;National 3 - Group E;15;14;9;14;7;10;;13;9;15;13;16;15;15;16;2;2;1;3;4;1;1;2;2;4;€19M - €27M;B-
;Bamba Dieng;15;ST (C);Forward;Yes;AM (L), ST (C);14;13;9;14;15;13;12;10;6;14;B-;Unknown;Unknown;Belgium;Very Strong;;False;Weak;178 cm;25;Fairly Good;None;Above Average;7;13;11;5;10;10;1;13;13;13;11;6;France;Second Division;14;12;11;8;12;10;FC Lorient;11;14;15;11;8;13;13;14;2;1;1;1;2;4;3;1;1;2;€1.1M - €10.5M;B-
;João Carvalho;12;AM (C);Attacking midfielder;Yes;M (C), AM (LC);12;15;6;13;13;13;8;13;5;17;B-;Unknown;Skill;Ireland;Very Strong;Portugal;True;Fairly Strong;172 cm;28;Poor;Extensive Knowledge;Very Low;11;11;14;5;13;6;2;16;11;13;13;13;Portugal;Premier League;10;13;16;9;13;14;;13;15;11;11;8;17;8;7;1;3;3;2;3;2;1;1;3;2;€13.5M - €17M;B-
;Hamza Choudhury;13;DM;Defensive midfielder;Yes;D (RL), DM;11;13;11;14;12;16;11;7;12;12;B-;Unknown;Team Player;England;Very Strong;England;False;Reasonable;178 cm;27;Exceptional;Extensive Knowledge;Below Average;15;8;12;11;9;11;2;12;6;11;9;6;England;Second League;15;14;12;11;8;12;Leicester;11;11;14;12;17;11;12;14;1;3;1;3;2;3;2;2;4;3;€5.2M - €9.2M;B-
;Batista Mendy;12;DM;Strong defensive midfielder;Yes;DM, M (C);13;12;15;15;15;16;17;8;13;13;B-;Unknown;Athleticism;Pays Basque;Very Strong;France;True;Fairly Strong;191 cm;25;Slightly Poor;Extensive Knowledge;Below Average;15;6;13;4;7;14;2;12;8;12;9;8;Spain;National 3 - Group E;15;14;9;14;7;10;Sevilla;13;9;15;13;16;15;15;16;2;2;1;3;4;1;1;2;2;4;€19M - €27M;B-
;Bamba Dieng;15;ST (C);Forward;Yes;AM (L), ST (C);14;13;9;14;15;13;12;10;6;14;B-;Unknown;Unknown;Belgium;Very Strong;Senegal;False;Weak;178 cm;25;Fairly Good;None;Above Average;7;13;11;5;10;10;1;13;13;13;11;6;France;Second Division;14;12;11;8;12;10;FC Lorient;11;14;15;11;8;13;13;14;2;1;1;1;2;4;3;1;1;2;€1.1M - €10.5M;B-
;João Carvalho;12;AM (C);Attacking midfielder;Yes;M (C), AM (LC);12;15;6;13;13;13;8;13;5;17;B-;Unknown;Skill;Ireland;Very Strong;Portugal;True;Fairly Strong;172 cm;28;Poor;Extensive Knowledge;Very Low;11;11;14;5;13;6;2;16;11;13;13;13;Portugal;Premier League;10;13;16;9;13;14;Estoril Praia;13;15;11;11;8;17;8;7;1;3;3;2;3;2;1;1;3;2;€13.5M - €17M;B-
;Mamadou Doumbia;11;ST (C);Forward;Yes;ST (C);12;14;13;11;12;12;14;11;10;11;B-;Unknown;Heading;Jamaica;Weak;Mali;False;Very Strong;192 cm;19;Quite Poor;Extensive Knowledge;Average;5;7;12;5;12;16;3;12;12;13;11;11;England;Sky Bet Championship;12;11;12;11;12;14;Watford;10;8;12;10;13;14;18;10;1;1;1;1;2;3;2;3;2;2;€70K - €4.2M;B-
;Unai Núñez;12;D (C);Centre-back;Yes;D (C);12;11;14;14;12;12;13;8;16;12;B-;Unknown;Marking;France;Very Strong;Spain;True;Reasonable;186 cm;28;Extremely Good;Extensive Knowledge;Below Average;14;9;12;10;10;14;2;11;8;7;7;7;Spain;Lower Saxony;14;14;13;14;8;11;Valencia;12;7;13;13;13;11;14;14;3;3;1;2;2;1;3;2;1;1;€9.8M - €12M;B-
;Teboho Mokoena;15;DM;Midfielder;Yes;DM, M (C);10;11;7;16;13;13;10;14;11;13;B-;Unknown;Speed;Cameroon;Very Strong;South Africa;False;Fairly Strong;176 cm;28;Extremely Good;Extensive Knowledge;Very Low;9;10;16;7;15;8;4;12;10;11;9;10;South Africa;;11;13;13;15;12;10;Sundowns;12;10;16;13;10;15;13;10;2;2;2;1;3;4;3;3;2;1;€450K - €1.3M;B-
;Yuki Soma;12-16;AM (L);Winger;Yes;M (L), AM (LC);17-20;15-19;2-8;9-13;11-15;11-15;3-9;11-15;3-9;12-16;B-;Heading;Speed;Russia;Very Strong;Japan;False;Weak;166 cm;28;Scouting Required;Minimal Knowledge;Very Low;4-8;13-17;7-11;1-4;11-15;7-11;1-3;9-15;13-17;14-18;9-13;11-17;Japan;J1 League;11-15;11-15;11-15;4-8;14-18;4-8;FC Machida;11-15;11-17;13-19;10-16;12-16;10-16;12-16;14-18;1-4;1-4;2-6;1-4;1-3;1-5;1-3;1-5;1-6;1;€140K - €1.4M;B-
;Teboho Mokoena;15;DM;Midfielder;Yes;DM, M (C);10;11;7;16;13;13;10;14;11;13;B-;Unknown;Speed;Cameroon;Very Strong;South Africa;False;Fairly Strong;176 cm;28;Extremely Good;Extensive Knowledge;Very Low;9;10;16;7;15;8;4;12;10;11;9;10;South Africa;South African Premiership;11;13;13;15;12;10;Sundowns;12;10;16;13;10;15;13;10;2;2;2;1;3;4;3;3;2;1;€450K - €1.3M;B-
;Brenden Aaronson;15;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;10;8;18;14;18;5;10;9;14;B-;Unknown;Unknown;Belgium;Very Strong;U.S.A.;False;Reasonable;177 cm;24;Very Good;Extensive Knowledge;Low;13;12;12;6;9;8;3;13;11;14;10;12;England;Premier League;17;16;11;9;17;8;Leeds;12;13;12;10;13;9;12;16;2;4;1;2;3;4;3;3;3;3;€24M - €30M;B-
;Gavin Bazunu;12;GK;Goalkeeper;Yes;GK;13;13;13;13;11;13;10;9;3;11;B-;Unknown;Handling;Nigeria;Very Strong;Ireland;True;Weak;189 cm;23;Fairly Good;Extensive Knowledge;Very High;1;1;13;2;1;8;13;11;1;3;3;5;England;Sky Bet Championship;11;12;12;11;12;7;Stoke;11;8;15;8;8;11;11;11;12;11;14;14;9;14;13;15;4;15;€15.5M - €23M;B-
Wnt;Nino;9-15;D (C);Centre-back;Yes;D (C);11-17;10-14;12-16;11-17;14-18;13-17;10-14;-;13-17;12-16;B-;Unknown;Marking;Congo;Very Strong;Brazil;False;Weak;188 cm;28;Scouting Required;Minimal Knowledge;Very Low;14-18;-;11-17;-;5-9;13-17;-;10-14;-;11-17;-;-;Russia;Premier League;12-16;14-18;12-16;11-15;8-14;10-16;Zenit;11-15;-;11-15;14-18;8-14;12-16;13-19;10-14;-;-;-;-;-;-;-;-;-;-;€8.6M - €11M;B-
;Duje Ćaleta-Car;11;D (C);Powerful centre-back;Yes;D (C);10;15;15;14;11;14;16;8;14;10;B-;Unknown;Heading;England;Very Strong;Croatia;True;Fairly Strong;193 cm;29;Fair;Extensive Knowledge;Above Average;14;8;11;8;9;17;3;13;6;8;5;5;Spain;First Division;14;14;11;15;6;11;Real San Sebastián;11;8;15;11;17;11;15;15;2;3;2;2;3;1;1;2;2;1;€7M - €8.6M;B-
Inj;Takumi Minamino;11-15;AM (L);Attacking midfielder;Yes;M (C), AM (RLC);16-20;13-17;6-12;10-14;11-15;12-16;4-10;8-12;6-12;13-17;B-;Unknown;Speed;DR Congo;Very Strong;Japan;False;Fairly Strong;172 cm;30;Scouting Required;Minimal Knowledge;Very High;5-9;10-14;10-14;1-7;10-14;5-9;1-3;10-16;10-14;14-18;8-12;8-14;France;Saudi Premier Division;12-16;12-16;12-16;6-10;13-17;3-7;AS Monaco;8-12;12-18;11-17;12-18;8-12;8-14;14-18;12-16;1-4;1-3;1-3;1-4;1-3;1-6;1-5;2-6;1-5;1-2;€11.5M;B-
Wnt;Alejandro Francés;13;D (R);Centre-back;Yes;D (RLC);12;12;13;13;13;13;12;6;14;11;B-;Unknown;Marking;Mali;Very Strong;Spain;True;Fairly Strong;180 cm;23;Quite Good;Extensive Knowledge;Below Average;15;4;11;10;9;12;2;11;8;9;10;7;Spain;First Division;14;13;12;13;10;12;Girona;12;9;15;13;12;13;15;13;1;3;3;2;1;3;3;2;2;1;€11M - €16.5M;B-
Wnt;Dan Burn;10;D (C);Commanding centre-back;Yes;D (LC);7-9;7-9;19;12-14;12;15;16;3-5;15;12;B-;Unknown;Unknown;Scotland;Weak;England;False;Very Strong;201 cm;33;Really Good;None;Below Average;16;4-6;13;12-15;2-5;15;2-5;12;8-10;8-10;9-11;5-7;England;Premier League;17;17;9-11;16;8-10;15;Newcastle;12;6-8;16;13;15;13;15;16-18;1-3;1-3;1-2;1-2;1-4;1-3;1-2;1-2;1-2;2-4;€8.8M - €13.5M;B-
;Igor;13;D (L);Centre-back;Yes;D (LC), WB (L);12;13;14;15;14;15;16;6;14;13;B-;Intelligence;Athleticism;England;Reasonable;Brazil;False;Very Strong;185 cm;27;Okay;Extensive Knowledge;Average;15;7;13;12;9;14;3;13;6;11;11;6;England;Premier League;14;12;12;14;8;8;Brighton;12;11;14;12;15;14;14;15;1;3;3;1;2;1;3;1;3;1;€31M - €37M;B-
Inj;Bertrand Traoré;15;AM (R);Winger;Yes;M (R), AM (RL), ST (C);16;10;10;12;15;13;12;14;6;14;B-;Intelligence;Speed;France;Weak;Burkina Faso;False;Very Strong;181 cm;30;Quite Poor;Extensive Knowledge;Very High;5;10;12;4;13;12;1;15;13;14;12;13;England;Premier League;14;8;11;5;13;7;Sunderland;11;17;13;9;8;8;11;10;2;2;1;1;2;1;2;2;1;3;€19M - €28M;B-
;Jack Clarke;16;AM (L);Winger;Yes;AM (RL);15;13;9;9;14;11;7;11;4;15;B-;Team Player;Speed;Brazil;Very Strong;England;False;Reasonable;181 cm;24;Good;Extensive Knowledge;Below Average;5;15;13;2;14;6;3;13;14;16;14;5;England;Sky Bet Championship;11;12;11;6;13;6;Ipswich;12;16;14;8;8;13;12;6;3;1;1;1;2;1;2;1;1;2;€19.5M - €29M;B-
;Gabriel Sara;9;DM;Midfielder;Yes;DM, M/AM (C);11;15;9;14;10;15;13;16;9;15;B-;Heading;Technique;Suriname;Fairly Strong;Brazil;False;Very Strong;177 cm;26;Really Good;Extensive Knowledge;Very Low;11;12;16;10;14;12;3;13;11;14;15;16;Türkiye;;14;15;15;13;12;11;Galatasaray;15;13;14;12;11;13;13;12;3;3;2;4;3;1;2;2;1;1;€27M - €33M;B-
;Lucas Da Cunha;13;M (C);Defensive midfielder;Yes;DM, M (C), AM (LC);14;13;6;15;13;14;10;14;10;14;B-;Unknown;Team Player;Portugal;Fairly Strong;France;True;Very Strong;174 cm;24;Really Good;Extensive Knowledge;Above Average;13;13;15;4;10;7;3;14;10;12;12;12;Italy;;14;14;14;13;13;14;Como;13;15;14;12;10;12;13;12;3;2;3;1;1;3;2;3;3;2;€13M - €20M;B-
Wnt;Ryan Yates;11;DM;Tireless defensive midfielder;Yes;DM, M (C);13;12;14;15;13;16;14;10;12;14;B-;Unknown;Team Player;Guinea;Very Strong;England;False;Fairly Strong;190 cm;27;Extremely Good;Extensive Knowledge;Low;14;4;13;4;9;15;2;12;11;10;10;7;England;Premier League;16;15;13;14;13;15;Nott'm Forest;13;6;16;13;12;13;12;15;1;2;2;2;1;2;3;2;1;1;€16M - €23M;B-
;Matteo Cancellieri;16;AM (R);Winger;Yes;M (R), AM (RL), ST (C);14;13;10;12;15;12;11;12;5;14;B-;Unknown;Speed;England;Reasonable;Italy;True;Very Strong;180 cm;23;Really Good;Extensive Knowledge;Below Average;5;11;11;4;13;11;1;13;12;14;13;11;Italy;Second Division;13;12;12;4;15;7;Celesti;12;13;16;10;13;11;13;11;1;1;1;2;3;2;3;2;3;2;€14M - €20M;B-
;Gabriel Sara;9;DM;Midfielder;Yes;DM, M/AM (C);11;15;9;14;10;15;13;16;9;15;B-;Heading;Technique;Suriname;Fairly Strong;Brazil;False;Very Strong;177 cm;26;Really Good;Extensive Knowledge;Very Low;11;12;16;10;14;12;3;13;11;14;15;16;Türkiye;Super League;14;15;15;13;12;11;Galatasaray;15;13;14;12;11;13;13;12;3;3;2;4;3;1;2;2;1;1;€27M - €33M;B-
;Lucas Da Cunha;13;M (C);Defensive midfielder;Yes;DM, M (C), AM (LC);14;13;6;15;13;14;10;14;10;14;B-;Unknown;Team Player;Portugal;Fairly Strong;France;True;Very Strong;174 cm;24;Really Good;Extensive Knowledge;Above Average;13;13;15;4;10;7;3;14;10;12;12;12;Italy;Serie A;14;14;14;13;13;14;Como;13;15;14;12;10;12;13;12;3;2;3;1;1;3;2;3;3;2;€13M - €20M;B-
;;15;WB (R);Attacking full-back;Yes;D/WB/M (R);14;11;11;12;15;13;12;7;10;14;;Unknown;Speed;England;Very Strong;DR Congo;True;Reasonable;183 cm;27;Fairly Good;Extensive Knowledge;Very Low;16;10;13;11;10;11;3;13;10;13;11;10;Portugal;R1 - Occitanie - A;14;15;13;10;14;9;Burnley;12;11;14;12;14;14;13;12;3;3;1;2;3;3;3;3;1;2;€22M - €32M;Very Good
;;13;AM (C);Unpredictable attacking midfielder;Yes;AM (LC), ST (C);14;12;7;12;13;12;9;11;6;16;;Intelligence;Skill;Italy;Very Strong;Spain;True;Fairly Strong;178 cm;28;Extremely Good;Extensive Knowledge;Very Low;7;12;15;5;14;8;2;14;15;16;12;15;Spain;First Division;12;12;14;13;14;12;Getafe;14;18;11;12;12;14;12;13;1;3;1;3;3;3;3;3;3;1;€8.2M - €12.5M;Very Good
;;15;WB (L);Full-back;Yes;D/WB (L);15;11;9;14;15;14;10;8;10;13;;Heading;Speed;England;Weak;Brazil;False;Very Strong;175 cm;24;Good;Extensive Knowledge;Below Average;10;7;12;10;8;8;3;12;10;13;13;10;England;Premier League;14;14;10;12;13;8;West Ham;13;12;12;11;14;12;13;13;3;4;2;1;1;1;2;3;3;3;€15.5M - €18.5M;Very Good
Wnt;;12;M (C);Midfielder;Yes;DM, M/AM (C);9;9;15;12;14;13;13;14;3;14;;Marking;Set Pieces;Spain;Very Strong;France;True;Reasonable;196 cm;23;Good;Extensive Knowledge;Above Average;4;15;13;9;14;8;2;14;12;13;12;14;Spain;Premier League;10;13;13;11;12;10;FC Porto;11;14;13;12;7;13;11;9;3;1;1;3;3;2;2;3;1;3;€250K - €2.6M;Very Good
;Alexander Bah;15;WB (R);Attacking full-back;Yes;D/WB/M (R);14;11;11;12;15;13;12;7;10;14;B-;Unknown;Speed;The Gambia;Very Strong;Denmark;True;Reasonable;183 cm;27;Fairly Good;Extensive Knowledge;Very Low;16;10;13;11;10;11;3;13;10;13;11;10;Portugal;R1 - Occitanie - A;14;15;13;10;14;9;Benfica;12;11;14;12;14;14;13;12;3;3;1;2;3;3;3;3;1;2;€22M - €32M;B-
;Juan Brunetta;13;AM (C);Unpredictable attacking midfielder;Yes;AM (LC), ST (C);14;12;7;12;13;12;9;11;6;16;B-;Intelligence;Skill;Italy;Very Strong;Argentina;True;Fairly Strong;178 cm;28;Extremely Good;Extensive Knowledge;Very Low;7;12;15;5;14;8;2;14;15;16;12;15;Mexico;First Division;12;12;14;13;14;12;Tigres;14;18;11;12;12;14;12;13;1;3;1;3;3;3;3;3;3;1;€8.2M - €12.5M;B-
;Welington;15;WB (L);Full-back;Yes;D/WB (L);15;11;9;14;15;14;10;8;10;13;B-;Heading;Speed;England;Weak;Brazil;False;Very Strong;175 cm;24;Good;Extensive Knowledge;Below Average;10;7;12;10;8;8;3;12;10;13;13;10;England;Sky Bet Championship;14;14;10;12;13;8;Southampton;13;12;12;11;14;12;13;13;3;4;2;1;1;1;2;3;3;3;€15.5M - €18.5M;B-
Wnt;Theo;12;M (C);Midfielder;Yes;DM, M/AM (C);9;9;15;12;14;13;13;14;3;14;C+;Marking;Set Pieces;Spain;Very Strong;France;True;Reasonable;196 cm;23;Good;Extensive Knowledge;Above Average;4;15;13;9;14;8;2;14;12;13;12;14;Spain;Second Division;10;13;13;11;12;10;Córdoba;11;14;13;12;7;13;11;9;3;1;1;3;3;2;2;3;1;3;€250K - €2.6M;C+
;;14;ST (C);Forward;Yes;ST (C);12;14;14;12;14;12;15;5;8;11;;Intelligence;Speed;England;Very Strong;England;True;Reasonable;191 cm;24;Quite Good;Extensive Knowledge;Below Average;7;10;10;4;11;12;1;10;15;12;7;4;England;Sky Bet Championship;12;13;10;8;13;7;;11;8;10;10;11;13;10;10;1;1;1;3;1;2;1;3;1;3;€5.4M - €7.6M;Very Good
;;12;D (C);Centre-back;Yes;D (C);12;12;14;14;13;12;14;7;15;12;;Heading;Heading;Russia;Very Strong;England;False;Reasonable;188 cm;23;Really Good;Extensive Knowledge;Above Average;14;7;12;10;6;14;1;10;7;9;7;7;England;Sky Bet Championship;13;13;10;14;6;13;Southampton;12;5;15;13;13;14;13;12;3;1;1;3;2;2;3;2;2;2;€24M - €35M;Very Good
;;9;D (C);Centre-back;Yes;D (C);9;12;15;12;10;13;15;5;12;9;;Speed;Heading;Cameroon;Very Strong;England;False;Reasonable;190 cm;23;Very Good;Extensive Knowledge;Above Average;12;7;12;5;5;17;2;11;8;4;11;6;England;Sky Bet Championship;12;13;9;13;9;15;;13;4;18;13;15;12;13;15;3;3;1;2;1;3;2;1;3;1;€5.2M - €7.6M;Very Good
;;13;DM;Midfielder;Yes;DM, M (C);12;14;15;13;12;14;15;7;12;13;;Unknown;Unknown;France;Very Strong;Spain;True;Weak;191 cm;26;Okay;None;Below Average;13;10;13;8;10;14;3;12;10;11;10;7;France;Lower Saxony;15;13;12;12;7;12;;11;8;13;10;11;14;12;15;1;3;2;1;3;3;1;1;1;1;€375K - €3.8M;Very Good
Set;;11;GK;Goalkeeper;Yes;GK;10;13;15;10;12;11;12;6;3;11;;Unknown;Aerial Reach;Jamaica;Very Strong;Mali;True;Fairly Strong;194 cm;24;Very Good;Extensive Knowledge;Below Average;2;1;11;3;1;1;13;11;1;3;1;5;England;Sky Bet Championship;14;13;11;12;3;11;;11;3;12;8;10;11;13;12;14;12;16;15;11;13;15;11;10;13;€10M - €14.5M;Very Good
;;15;AM (R);Winger;Yes;M (RL), AM (RLC);14;13;9;10;13;12;8;12;7;13;;Unknown;Speed;Ireland;Reasonable;England;False;Very Strong;179 cm;22;Okay;Extensive Knowledge;Above Average;10;11;11;4;10;8;1;13;13;15;12;10;England;Sky Bet Championship;11;12;12;9;13;7;;11;15;13;10;7;12;12;9;1;2;3;3;1;3;2;1;2;2;€7.4M - €9.2M;Very Good
;;14;ST (C);Winger;Yes;AM (R), ST (C);13;13;10;14;14;13;14;7;6;12;;Unknown;Unknown;Nigeria;Very Strong;Nigeria;False;Reasonable;179 cm;27;Very Good;None;Above Average;7;10;12;6;12;9;2;12;11;13;11;7;France;Second Division;13;13;11;10;12;7;;12;14;12;11;11;12;12;14;3;2;2;2;3;1;3;2;1;1;€325K - €3.1M;Fringe player who could still improve
;;9;GK;Goalkeeper;Yes;GK;13;15;16;14;9;13;15;8;2;8;;Unknown;Unknown;Pays Basque;Very Strong;France;True;Weak;196 cm;28;Okay;None;Average;1;2;9;2;1;9;12;9;1;2;2;3;France;National 3 - Group E;12;13;8;12;3;10;;11;6;12;13;8;12;12;13;11;9;15;13;8;12;11;12;8;12;€230K - €2.3M;Very Good
;;14;ST (C);Striker;Yes;AM (L), ST (C);11;13;13;12;13;13;15;8;6;13;;Unknown;Speed;England;Very Strong;England;False;Fairly Strong;185 cm;25;Okay;Extensive Knowledge;Below Average;6;12;11;5;11;12;1;12;14;13;7;6;England;Second League;14;14;12;6;12;10;;12;13;13;13;11;12;14;11;1;2;2;2;3;4;1;2;1;1;€5.8M - €8.8M;Very Good
