Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Martín Ojeda;14;AM (C);Winger;Yes;M (L), AM (RLC), ST (C);13;12;11;11;13;14;12;14;6;15;;Unknown;Unknown;France;Weak;Spain;False;Very Strong;176 cm;26;Perfect;None;Very Low;8;14;15;11;14;8;3;14;13;14;13;12;Spain;Lower Saxony;12;13;14;7;12;7;;12;15;13;12;12;13;13;7;1;2;1;3;2;1;2;3;1;1;€9.4M - €11M;Terrific
;Josh Griffiths;12-14;GK;Goalkeeper;Yes;GK;10;11;14-16;10-12;10-12;12-14;9-11;7-10;2-4;13-15;;Unknown;Unknown;U.S.A.;Very Strong;England;False;Weak;195 cm;24;Scouting Required;Marginal Knowledge;Low;1-2;3-6;13-15;2-4;2-4;1-2;12;7-9;1-3;1-2;1-3;3-5;England;Sky Bet Championship;10-12;9-11;7-9;12;8-11;8;;10;6-8;10-12;11;5-7;15;11;12;8;13;16;13;8;14;14;14;7;13;€2.3M - €5M;Regular starter who could still improve
;Ibane Bowat;11;D (C);Centre-back;Yes;D (C);10;14;15;14;13;13;15;6;11;9;;Unknown;Heading;England;Reasonable;England;True;Very Strong;190 cm;23;Fairly Okay;Reasonable Knowledge;Below Average;12;5;11;10;9;14;2;11;3;6;5;3;England;Sky Bet Championship;12;13;9;13;3;7;;9;4;16;10;7;12;11;12;2;2;2;1;1;2;2;1;2;3;€375K - €8.6M;Fringe player who could still improve
Wnt;João Gomes;13;DM;Defensive midfielder;Yes;DM, M (C);14;12;11;15;13;13;14;7;14;13;;Unknown;Team Player;England;Very Strong;England;False;Weak;176 cm;24;Good;Extensive Knowledge;Average;16;10;14;11;12;10;3;14;11;14;10;10;England;Premier League;16;16;12;15;14;10;;13;15;16;13;16;14;13;16;1;2;1;3;2;3;2;1;2;3;€34M - €42M;Fringe player who could still improve
;;;AM (R);Winger;;M/AM (RL);;;;;;;;;;;;Unknown;Speed;Austria;Very Strong;England;False;Fairly Strong;175 cm;25;Good;;Very High;;;;;;;;;;;;;England;National 3 - Group C;;;;;;;Benfica;;;;;;;;;;;;;;;;;;;;Excellent
;;;AM (C);Attacking midfielder;;M (RC), AM (RLC);;;;;;;;;;;;Unknown;Speed;France;Very Strong;Spain;True;Weak;173 cm;23;Really Good;;Below Average;;;;;;;;;;;;;Spain;Premier League;;;;;;;Brighton;;;;;;;;;;;;;;;;;;;;Terrific
;;;D (C);Powerful centre-back;;D (C);;;;;;;;;;;;Unknown;Marking;England;Very Strong;England;False;Weak;183 cm;27;Scouting Required;;Very Low;;;;;;;;;;;;;England;Premier League;;;;;;;Fulham;;;;;;;;;;;;;;;;;;;;Terrific
;;;D (C);Centre-back;;D (C);;;;;;;;;;;;Unknown;Marking;;Strong;Scotland;True;Very Strong;180 cm;32;Scouting Required;;Very Low;;;;;;;;;;;;;England;Premier League;;;;;;;Brentford;;;;;;;;;;;;;;;;;;;;Terrific
;;;AM (L);Attacking midfielder;;M (C), AM (RLC), ST (C);;;;;;;;;;;;Unknown;Skill;Mali;Reasonable;Spain;True;Very Strong;185 cm;24;Scouting Required;;High;;;;;;;;;;;;;Netherlands;National 2 - A;;;;;;;Al-Ittihad;;;;;;;;;;;;;;;;;;;;Terrific
Loa;;11;AM (L);Midfielder;;M (C), AM (LC);15;15;10;11;12;11;12;12;8;14;;Unknown;Skill;Ivory Coast;Very Strong;England;False;Reasonable;189 cm;23;Really Good;;Above Average;9;11;12;7;12;11;1;14;12;14;12;12;England;Premier League;12;12;13;11;9;8;Fulham;9;15;8;12;8;11;13;10;3;3;3;1;4;2;2;2;3;2;;Terrific
Wnt;;13-17;AM (C);Attacking midfielder;;AM (RLC), ST (C);14-18;14-18;7-11;12-16;10-16;11-17;2-6;12-16;5-9;14-20;;Unknown;Speed;Morocco;Very Strong;Portugal;True;Weak;173 cm;31;Scouting Required;;Very Low;5-11;12-16;12-16;2-6;12-18;3-9;1-3;10-14;13-17;11-15;10-14;12-16;Portugal;Premier League;9-15;10-16;9-15;6-10;15-19;12-16;Newcastle;11-17;15-19;9-13;11-15;6-10;8-12;9-13;6-10;1;1-6;1-3;1-3;1-6;1-5;1-7;1-4;1-5;1-5;;Terrific
;;12-18;AM (L);Winger;;AM (LC);8-12;14-18;10-16;8-14;13-17;13-17;14-18;11-15;-;10-14;;Unknown;Speed;Scotland;Reasonable;Denmark;True;Very Strong;191 cm;28;Scouting Required;;Very Low;-;10-14;12-18;-;13-17;-;-;11-15;12-16;9-13;11-17;7-13;England;Sky Bet Championship;13-17;8-12;11-15;-;8-12;9-15;Leicester;12-16;9-15;11-15;10-16;-;9-13;-;14-18;-;-;-;-;-;-;-;-;-;-;;Terrific
;;;WB (R);Attacking full-back;;D/WB (RL);;;;;;;;;;;;Unknown;Team Player;France;Very Strong;Mali;True;Reasonable;186 cm;28;Really Good;;Above Average;;;;;;;;;;;;;England;Premier League;;;;;;;Crystal Palace;;;;;;;;;;;;1;3;1;3;3;2;2;;Terrific
;;;D (C);Experienced centre-back;;D (C);;;;;;;;;;;;Unknown;Unknown;Spain;Very Strong;England;False;Reasonable;194 cm;32;Really Good;;Below Average;;;;;;;;;;;;;England;Second Division;;;;;;;;;;;;;;;;;;;;;;;;;;;Terrific
;;;AM (R);Winger;;M (RL), AM (RLC);;;;;;;;;;;;Unknown;Speed;Ghana;Very Strong;England;False;Fairly Strong;178 cm;28;Exceptional;;High;;;;;;;;;;;;;England;Premier League;;;;;;;Crystal Palace;;;;;;;;;;;;;;;;;;;;Terrific
;;;ST (C);Striker;;ST (C);;;;;;;;;;;;Unknown;Unknown;Curaçao;Very Strong;Netherlands;False;Fairly Strong;182 cm;26;Quite Good;;Very Low;;;;;;;;;;;;;England;Premier League;;;;;;;Brighton;;;;;;;;;;;;;;;;;;;;Terrific
;;;AM (C);Winger;;M/AM (RC);;;;;;;;;;;;Unknown;Technique;Russia;Fairly Strong;Brazil;True;Very Strong;184 cm;26;Extremely Poor;;Average;;;;;;;;;;;;;Saudi Arabia;National 2 - A;;;;;;;Al-Hilal;;;;;;;;;;;;;;;;;;;;Terrific
