Inf;Player;Acceleration;Best Position;Media Description;Eligible;Position;Agility;Balance;Jumping Reach;Natural Fitness;Pace;Stamina;Strength;Free Kick Taking;Marking;Technique;Recommendation;Cons;Ability;Role Ability;Role Ability Out Of Possession;Potential;Pros;2nd Nat;Right Foot;Nation of Birth;EU National;Left Foot;Height;Age;Morale;Knowledge;Injury Susceptibility;Tackling;Penalty Taking;Passing;Long Throws;Long Shots;Heading;Communication;First Touch;Finishing;Dribbling;Crossing;Corners;Based In;Division;Work Rate;Team Work;Vision;Positioning;Off The Ball;Leadership;Club;Decisions;Flair;Determination;Concentration;Aggression;Composure;Anticipation;Bravery;Throwing;Rushing Out (Tendency);Aerial Reach;Reflexes;Punching;One On Ones;Command Of Area;Kicking;Eccentricity;Handling;Transfer Value;Recommendation
;Vanderson;15;WB (R);Full-back;Yes;D/WB/M (R);15;13;8;16;15;15;11;12;10;14;B-;Heading;Unknown;;;Unknown;Speed;Russia;Very Strong;Brazil;False;Weak;173 cm;24;Fairly Okay;Extensive Knowledge;Low;12;9;13;8;9;10;2;14;10;14;14;9;France;Ligue 1 McDonald's;13;15;14;11;15;8;AS Monaco;13;13;15;11;13;13;13;15;2;1;1;2;2;1;2;4;3;2;€16.5M - €25M;B-
;Anthony Elanga;18;AM (R);Dynamic winger;Yes;M/AM (RL);14;11;10-12;14-16;18;15;11-13;11;1-3;14;B-;Unknown;Unknown;;;Unknown;Unknown;Cameroon;Very Strong;Sweden;True;Reasonable;180 cm;23;Really Good;None;Below Average;4-7;10;11;1-2;11;5-8;1;12;13;13;10;10;England;Premier League;14;12-15;8;9-11;12;3-5;Newcastle;8;16;14;10-12;11-13;8-10;10-12;8-10;1-2;1-4;1-4;1-2;1-4;1-3;3-6;2-4;2-4;1-2;€42M - €64M;B-
;Jean-Ricner Bellegarde;14;AM (R);Attacking midfielder;Yes;M (C), AM (RLC);14;12;7;13;14;14;15;10;8;15;B-;Unknown;Unknown;;;Unknown;Speed;France;Very Strong;France;True;Weak;170 cm;27;Good;Extensive Knowledge;Above Average;9;12;13;6;13;8;1;14;9;15;13;11;England;Second League;14;13;11;8;12;7;Wolves;12;13;14;11;10;12;13;11;3;1;1;3;1;2;1;3;2;3;€34M - €51M;B-
;Maxence Caqueret;12;DM;Tenacious defensive midfielder;Yes;DM, M (C);14;12;7;14;12;15;9;11;14;14;B-;Unknown;Unknown;;;Unknown;Team Player;Jamaica;Very Strong;France;True;Reasonable;174 cm;25;Good;Extensive Knowledge;Below Average;15;9;15;5;8;6;4;14;10;14;10;11;Italy;Serie A;16;15;14;15;14;14;Como;12;13;15;12;15;13;15;14;2;1;2;1;1;3;1;4;1;1;€12M - €14.5M;B-
;Jorge Cuenca;15;D (C);Centre-back;Yes;D (C);12;12;14;14;15;12;15;6;14;12;B-;Unknown;Unknown;;;Unknown;Speed;Belgium;Reasonable;Spain;True;Very Strong;189 cm;25;Fairly Okay;Extensive Knowledge;Average;15;6;13;9;8;13;4;14;7;9;7;7;England;Second Division;14;14;12;14;8;9;;13;7;14;14;12;14;14;13;2;4;1;3;4;2;4;1;2;2;€46M - €68M;B-
Set;Jean-Philippe Mateta;14;ST (C);Striker;Yes;ST (C);13;14;16;14;15;14;16;8;9;13;B-;Unknown;Unknown;;;Unknown;Heading;DR Congo;Very Strong;France;True;Fairly Strong;192 cm;28;Excellent;Extensive Knowledge;Below Average;7;16;11;4;9;14;3;14;15;14;8;6;England;Premier League;14;14;10;11;14;11;;12;14;13;12;15;12;13;14;3;2;1;2;4;4;3;1;3;3;€33M - €40M;B-
;Nick Pope;7-9;GK;Commanding goalkeeper;Yes;GK;14;12;17-20;8-10;8-10;9-11;10-13;7-9;1-3;6-8;B-;Unknown;Unknown;;;Unknown;Unknown;Senegal;Very Strong;England;False;Reasonable;198 cm;33;Good;None;Very Low;2-4;2-4;6-8;1-3;1-3;1-3;15;6;2-4;2-4;1;6-9;England;Premier League;14-16;14-16;5-7;15;2-4;10;Newcastle;11;3-6;12-15;12;6-8;9;15;14;12;15;18;16;12;17;15;10;2;15;€10.5M - €16.5M;B-
;Jordan Teze;14;D (R);Full-back;Yes;D (RC), WB (R), DM;15;14;13;15;14;15;13;6;13;12;B-;Unknown;Unknown;;;Unknown;Athleticism;;Very Strong;;True;Weak;183 cm;25;Fair;Extensive Knowledge;Below Average;13;6;15;12;7;12;1;13;7;11;11;8;France;Ligue 1 McDonald's;14;14;11;14;12;12;AS Monaco;13;12;16;13;13;13;12;12;2;3;1;1;4;2;1;3;3;2;€12.5M - €18.5M;B-
;William Osula;15;ST (C);Striker;Yes;AM (RL), ST (C);13-15;11-13;12;12-14;16;13;14;5-7;7-9;12;B-;Unknown;Unknown;;;Unknown;Unknown;Nigeria;Very Strong;;True;Fairly Strong;186 cm;22;Extremely Good;None;Below Average;4-7;7;9;2-4;8;12;1;12;13;12-14;10;7-9;England;Premier League;15;12-15;8;7-9;12;5-7;Newcastle;11;13;11;9-11;12;12;10-12;13-15;1;1-4;1-4;2-4;1-3;2-4;1-3;1-2;2-4;2-4;€14.5M - €18M;B-
;Jorge Cuenca;15;D (C);Centre-back;Yes;D (C);12;12;14;14;15;12;15;6;14;12;B-;Unknown;Unknown;;;Unknown;Speed;Belgium;Reasonable;Spain;True;Very Strong;189 cm;25;Fairly Okay;Extensive Knowledge;Average;15;6;13;9;8;13;4;14;7;9;7;7;England;Second Division;14;14;12;14;8;9;Fulham;13;7;14;14;12;14;14;13;2;4;1;3;4;2;4;1;2;2;€46M - €68M;B-
Set;Jean-Philippe Mateta;14;ST (C);Striker;Yes;ST (C);13;14;16;14;15;14;16;8;9;13;B-;Unknown;Unknown;;;Unknown;Heading;DR Congo;Very Strong;France;True;Fairly Strong;192 cm;28;Excellent;Extensive Knowledge;Below Average;7;16;11;4;9;14;3;14;15;14;8;6;England;Premier League;14;14;10;11;14;11;Crystal Palace;12;14;13;12;15;12;13;14;3;2;1;2;4;4;3;1;3;3;€33M - €40M;B-
;Jordan Teze;14;D (R);Full-back;Yes;D (RC), WB (R), DM;15;14;13;15;14;15;13;6;13;12;B-;Unknown;Unknown;;;Unknown;Athleticism;Congo;Very Strong;Netherlands;True;Weak;183 cm;25;Fair;Extensive Knowledge;Below Average;13;6;15;12;7;12;1;13;7;11;11;8;France;Ligue 1 McDonald's;14;14;11;14;12;12;AS Monaco;13;12;16;13;13;13;12;12;2;3;1;1;4;2;1;3;3;2;€12.5M - €18.5M;B-
;William Osula;15;ST (C);Striker;Yes;AM (RL), ST (C);13-15;11-13;12;12-14;16;13;14;5-7;7-9;12;B-;Unknown;Unknown;;;Unknown;Unknown;Nigeria;Very Strong;Denmark;True;Fairly Strong;186 cm;22;Extremely Good;None;Below Average;4-7;7;9;2-4;8;12;1;12;13;12-14;10;7-9;England;Premier League;15;12-15;8;7-9;12;5-7;Newcastle;11;13;11;9-11;12;12;10-12;13-15;1;1-4;1-4;2-4;1-3;2-4;1-3;1-2;2-4;2-4;€14.5M - €18M;B-
;Yoshinori Muto;13-19;AM (R);Experienced winger;Yes;M (R), AM (RL), ST (C);8-12;11-15;6-12;16-20;13-17;13-17;9-13;8-12;2-8;10-14;B-;Unknown;Unknown;;;Unknown;Speed;Pays Basque;Very Strong;Japan;False;Fairly Strong;179 cm;33;Scouting Required;Minimal Knowledge;Very Low;5-9;7-11;8-14;2-6;7-11;9-13;1-5;8-12;12-16;7-11;6-12;1-6;Japan;Saudi Premier Division;10-14;11-15;9-13;7-11;8-12;9-15;Kobe;9-13;10-16;14-18;7-13;12-18;10-14;7-11;15-19;1-5;1-4;1-5;3-7;1-5;1-3;1-3;1-3;1-6;1-7;€100K - €1M;B-
;Sikou Niakaté;12;D (C);Centre-back;Yes;D (C);12;17;16;12;13;14;16;7;14;13;B-;Unknown;Unknown;;;Unknown;Heading;France;Weak;France;True;Very Strong;186 cm;26;Perfect;Extensive Knowledge;Very Low;8;9;14;10;6;14;2;12;8;12;10;5;Portugal;Second Division;12;14;13;15;8;14;BRG;13;12;12;11;14;14;15;11;2;3;2;2;3;1;2;2;3;4;€15M - €22M;B-
;Joseph Paintsil;16-20;AM (L);Winger;Yes;AM (RL);15-19;9-13;2-6;13-17;17-20;6-12;8-14;4-8;1-4;9-15;B-;Intelligence;Unknown;;;Unknown;Speed;England;Very Strong;Ghana;False;Weak;169 cm;27;Scouting Required;Minimal Knowledge;Very Low;3-7;10-14;12-16;1-7;8-14;5-9;1-7;12-18;11-15;13-17;13-17;3-7;U.S.A.;Malian Ligue 1;4-10;6-10;10-14;2-6;12-16;7-11;LA Galaxy;6-12;10-14;10-16;7-11;14-18;11-17;9-13;13-17;1-5;1-5;1-5;1-5;1-5;1-3;1-4;1-5;1-3;1-5;€12M - €18.5M;B-
;Víctor Gómez;14;WB (R);Attacking full-back;Yes;D/WB/M (R);13;17;5;12;14;14;11;7;10;15;B-;Heading;Unknown;;;Unknown;Speed;France;Very Strong;Spain;True;Reasonable;169 cm;25;Perfect;Extensive Knowledge;Very Low;10;9;14;12;8;7;1;14;8;10;13;12;Portugal;Premier League;12;16;12;13;13;10;BRG;15;11;13;12;8;15;16;9;1;2;2;1;3;2;3;4;1;3;€22M - €33M;B-
;Joseph Paintsil;16-20;AM (L);Winger;Yes;AM (RL);15-19;9-13;2-6;13-17;17-20;6-12;8-14;4-8;1-4;9-15;B-;Intelligence;Unknown;;;Unknown;Speed;England;Very Strong;Ghana;False;Weak;169 cm;27;Scouting Required;Minimal Knowledge;Very Low;3-7;10-14;12-16;1-7;8-14;5-9;1-7;12-18;11-15;13-17;13-17;3-7;U.S.A.;MLS;4-10;6-10;10-14;2-6;12-16;7-11;LA Galaxy;6-12;10-14;10-16;7-11;14-18;11-17;9-13;13-17;1-5;1-5;1-5;1-5;1-5;1-3;1-4;1-5;1-3;1-5;€12M - €18.5M;B-
;Vitor Carvalho;12;DM;Defensive midfielder;Yes;D (C), DM;13;14;14;13;12;14;15;7;14;12;B-;Unknown;Unknown;;;Unknown;Heading;Brazil;Very Strong;Brazil;True;Reasonable;186 cm;28;Good;Extensive Knowledge;Very Low;12;12;11;7;10;16;1;11;10;8;9;7;Portugal;R1 - Occitanie - A;14;16;8;15;13;13;BRG;12;10;14;17;16;10;13;11;1;2;2;2;2;2;2;1;2;3;€20M - €24M;B-
;Sergi Roberto;12;DM;Experienced midfielder;Yes;D/WB (R), DM, M (C);11;13;9;11;11;11;11;6;10;14;B-;Unknown;Unknown;;;Unknown;Team Player;England;Very Strong;Spain;True;Reasonable;178 cm;33;Quite Good;Extensive Knowledge;High;11;12;15;5;9;7;2;14;10;12;12;7;Italy;Serie A;15;17;15;13;13;15;Como;15;11;16;14;11;13;12;13;1;3;1;3;1;1;3;3;4;1;€150K - €1.5M;B-
Wnt;Mohamed Bamba;14;ST (C);Forward;Yes;ST (C);15;12;12;14;14;12;13;9;6;10;B-;Unknown;Unknown;;;Unknown;Unknown;;Very Strong;;False;Fairly Strong;185 cm;23;Fairly Good;None;Average;10;13;12;7;11;12;3;12;13;12;10;7;France;Ligue 1 McDonald's;14;12;10;6;13;6;;11;11;14;11;13;12;12;13;2;4;2;2;2;3;1;3;2;4;€3.3M - €6.6M;B-
Inj;Callum O'Hare;13;AM (C);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);14;14;6;12;12;14;9;9;8;15;B-;Unknown;Unknown;;;Unknown;Skill;England;Very Strong;England;True;Reasonable;173 cm;27;Really Good;Extensive Knowledge;Above Average;10;10;14;6;11;8;1;13;12;17;11;11;England;Sky Bet Championship;17;14;12;10;14;9;;12;16;15;11;13;10;11;11;2;1;3;1;2;2;2;3;2;1;€16M - €24M;B-
Set;Lamare Bogarde;13;DM;Hard working midfielder;Yes;D (RC), DM, M (C);13;13;11;13;12;12;12;11;12;13;B-;Heading;Unknown;;;Unknown;Team Player;;Very Strong;Netherlands;True;Reasonable;183 cm;21;Very Good;Extensive Knowledge;Below Average;14;11;13;5;10;12;3;13;8;11;8;7;England;Sky Bet Championship;15;15;12;13;9;12;;11;8;12;11;12;13;13;12;2;2;2;3;1;3;2;1;2;3;Not for Sale;B-
Wnt;Mohamed Bamba;14;ST (C);Forward;Yes;ST (C);15;12;12;14;14;12;13;9;6;10;B-;Unknown;Unknown;;;Unknown;Unknown;Guinea;Very Strong;Ivory Coast;False;Fairly Strong;185 cm;23;Fairly Good;None;Average;10;13;12;7;11;12;3;12;13;12;10;7;France;Ligue 1 McDonald's;14;12;10;6;13;6;FC Lorient;11;11;14;11;13;12;12;13;2;4;2;2;2;3;1;3;2;4;€3.3M - €6.6M;B-
Inj;Callum O'Hare;13;AM (C);Attacking midfielder;Yes;M (C), AM (RLC), ST (C);14;14;6;12;12;14;9;9;8;15;B-;Unknown;Unknown;;;Unknown;Skill;England;Very Strong;England;True;Reasonable;173 cm;27;Really Good;Extensive Knowledge;Above Average;10;10;14;6;11;8;1;13;12;17;11;11;England;Sky Bet Championship;17;14;12;10;14;9;Sheffield United;12;16;15;11;13;10;11;11;2;1;3;1;2;2;2;3;2;1;€16M - €24M;B-
Set;Lamare Bogarde;13;DM;Hard working midfielder;Yes;D (RC), DM, M (C);13;13;11;13;12;12;12;11;12;13;B-;Heading;Unknown;;;Unknown;Team Player;Suriname;Very Strong;Netherlands;True;Reasonable;183 cm;21;Very Good;Extensive Knowledge;Below Average;14;11;13;5;10;12;3;13;8;11;8;7;England;Sky Bet Championship;15;15;12;13;9;12;Millwall;11;8;12;11;12;13;13;12;2;2;2;3;1;3;2;1;2;3;Not for Sale;B-
;Axel Tuanzebe;15;D (R);Centre-back;Yes;D (RC);14;13;13;12;15;12;14;5;13;12;B-;Unknown;Unknown;;;Unknown;Speed;England;Very Strong;DR Congo;False;Reasonable;185 cm;27;Okay;Extensive Knowledge;Above Average;14;9;13;7;4;12;3;13;5;12;6;4;England;Regional Div. North;13;11;8;14;6;12;Burnley;11;7;14;12;14;12;15;13;3;1;2;3;2;3;2;2;3;1;€22M - €26M;B-
;Terem Moffi;15;ST (C);Striker;Yes;ST (C);12;15;13;10;15;13;16;9;7;13;B-;Unknown;Unknown;;;Unknown;Speed;DR Congo;Weak;Nigeria;False;Very Strong;188 cm;26;Extremely Good;Extensive Knowledge;Very Low;7;13;11;7;12;12;2;13;13;13;8;7;Portugal;Premier League;10;13;13;7;13;7;FC Porto;11;14;11;12;11;12;12;14;1;2;4;1;2;3;1;3;4;2;€5.4M - €6.6M;B-
;Aaron Wan-Bissaka;16;D (R);Full-back;Yes;D (R);18;15;10;15;15;15;13;4;12;11;B-;Heading;Unknown;;;Unknown;Speed;England;Very Strong;England;False;Weak;182 cm;27;Fairly Okay;Extensive Knowledge;Below Average;19;5;11;8;5;8;3;12;7;13;11;5;England;Lower Saxony;13;16;6;13;12;6;West Ham;12;12;10;12;15;12;12;17;3;3;3;2;1;3;3;1;1;2;€31M - €38M;B-
Inj;Borja Mayoral;11;ST (C);Striker;Yes;ST (C);14;14;11;7;11;8;11;8;6;16;B-;Intelligence;Unknown;;;Unknown;Skill;Nigeria;Very Strong;Spain;True;Fairly Strong;182 cm;28;Slightly Poor;Extensive Knowledge;Very High;7;17;14;4;12;15;1;16;16;13;10;6;Spain;First Division;13;13;12;7;16;9;Getafe;15;13;16;14;16;16;15;10;1;2;2;2;1;3;2;2;2;1;€20M;B-
;Tom Davies;13;DM;Midfielder;Yes;DM, M (C);15;13;10;15;12;16;12;10;10;14;B-;Unknown;Unknown;;;Unknown;Team Player;Martinique;Very Strong;England;False;Reasonable;179 cm;27;Good;Extensive Knowledge;High;14;8;13;2;7;10;2;13;8;12;10;9;England;Sky Bet Championship;15;15;11;14;11;9;Sheffield United;11;14;14;14;15;12;14;15;4;3;3;1;2;1;3;3;1;3;€650K - €8.4M;B-
;Hamza Choudhury;13;DM;Defensive midfielder;Yes;D (RL), DM;11;13;11;14;12;16;11;7;12;12;B-;Unknown;Unknown;;;Unknown;Team Player;England;Very Strong;England;False;Reasonable;178 cm;27;Exceptional;Extensive Knowledge;Below Average;15;8;12;11;9;11;2;12;6;11;9;6;England;Sky Bet Championship;15;14;12;11;8;12;;11;11;14;12;17;11;12;14;1;3;1;3;2;3;2;2;4;3;€5.2M - €9.2M;B-
;Batista Mendy;12;DM;Strong defensive midfielder;Yes;DM, M (C);13;12;15;15;15;16;17;8;13;13;B-;Unknown;Unknown;;;Unknown;Athleticism;;Very Strong;France;True;Fairly Strong;191 cm;25;Slightly Poor;Extensive Knowledge;Below Average;15;6;13;4;7;14;2;12;8;12;9;8;Spain;First Division;15;14;9;14;7;10;;13;9;15;13;16;15;15;16;2;2;1;3;4;1;1;2;2;4;€19M - €27M;B-
;Bamba Dieng;15;ST (C);Forward;Yes;AM (L), ST (C);14;13;9;14;15;13;12;10;6;14;B-;Unknown;Unknown;;;Unknown;Unknown;Belgium;Very Strong;;False;Weak;178 cm;25;Fairly Good;None;Above Average;7;13;11;5;10;10;1;13;13;13;11;6;France;Ligue 1 McDonald's;14;12;11;8;12;10;FC Lorient;11;14;15;11;8;13;13;14;2;1;1;1;2;4;3;1;1;2;€1.1M - €10.5M;B-
;João Carvalho;12;AM (C);Attacking midfielder;Yes;M (C), AM (LC);12;15;6;13;13;13;8;13;5;17;B-;Unknown;Unknown;;;Unknown;Skill;France;Very Strong;Portugal;True;Fairly Strong;172 cm;28;Poor;Extensive Knowledge;Very Low;11;11;14;5;13;6;2;16;11;13;13;13;Portugal;Premier League;10;13;16;9;13;14;;13;15;11;11;8;17;8;7;1;3;3;2;3;2;1;1;3;2;€13.5M - €17M;B-
;Hamza Choudhury;13;DM;Defensive midfielder;Yes;D (RL), DM;11;13;11;14;12;16;11;7;12;12;B-;Unknown;Unknown;;;Unknown;Team Player;England;Very Strong;England;False;Reasonable;178 cm;27;Exceptional;Extensive Knowledge;Below Average;15;8;12;11;9;11;2;12;6;11;9;6;England;Sky Bet Championship;15;14;12;11;8;12;Leicester;11;11;14;12;17;11;12;14;1;3;1;3;2;3;2;2;4;3;€5.2M - €9.2M;B-
;Batista Mendy;12;DM;Strong defensive midfielder;Yes;DM, M (C);13;12;15;15;15;16;17;8;13;13;B-;Unknown;Unknown;;;Unknown;Athleticism;Guinea-Bissau;Very Strong;France;True;Fairly Strong;191 cm;25;Slightly Poor;Extensive Knowledge;Below Average;15;6;13;4;7;14;2;12;8;12;9;8;Spain;First Division;15;14;9;14;7;10;Sevilla;13;9;15;13;16;15;15;16;2;2;1;3;4;1;1;2;2;4;€19M - €27M;B-
;Bamba Dieng;15;ST (C);Forward;Yes;AM (L), ST (C);14;13;9;14;15;13;12;10;6;14;B-;Unknown;Unknown;;;Unknown;Unknown;Belgium;Very Strong;Senegal;False;Weak;178 cm;25;Fairly Good;None;Above Average;7;13;11;5;10;10;1;13;13;13;11;6;France;Ligue 1 McDonald's;14;12;11;8;12;10;FC Lorient;11;14;15;11;8;13;13;14;2;1;1;1;2;4;3;1;1;2;€1.1M - €10.5M;B-
;João Carvalho;12;AM (C);Attacking midfielder;Yes;M (C), AM (LC);12;15;6;13;13;13;8;13;5;17;B-;Unknown;Unknown;;;Unknown;Skill;France;Very Strong;Portugal;True;Fairly Strong;172 cm;28;Poor;Extensive Knowledge;Very Low;11;11;14;5;13;6;2;16;11;13;13;13;Portugal;Premier League;10;13;16;9;13;14;Estoril Praia;13;15;11;11;8;17;8;7;1;3;3;2;3;2;1;1;3;2;€13.5M - €17M;B-
;Mamadou Doumbia;11;ST (C);Forward;Yes;ST (C);12;14;13;11;12;12;14;11;10;11;B-;Unknown;Unknown;;;Unknown;Heading;Jamaica;Weak;Mali;False;Very Strong;192 cm;19;Quite Poor;Extensive Knowledge;Average;5;7;12;5;12;16;3;12;12;13;11;11;England;Sky Bet Championship;12;11;12;11;12;14;Watford;10;8;12;10;13;14;18;10;1;1;1;1;2;3;2;3;2;2;€70K - €4.2M;B-
;Unai Núñez;12;D (C);Centre-back;Yes;D (C);12;11;14;14;12;12;13;8;16;12;B-;Unknown;Unknown;;;Unknown;Marking;France;Very Strong;Spain;True;Reasonable;186 cm;28;Extremely Good;Extensive Knowledge;Below Average;14;9;12;10;10;14;2;11;8;7;7;7;Spain;Second League;14;14;13;14;8;11;Valencia;12;7;13;13;13;11;14;14;3;3;1;2;2;1;3;2;1;1;€9.8M - €12M;B-
;Teboho Mokoena;15;DM;Midfielder;Yes;DM, M (C);10;11;7;16;13;13;10;14;11;13;B-;Unknown;Unknown;;;Unknown;Speed;Cameroon;Very Strong;South Africa;False;Fairly Strong;176 cm;28;Extremely Good;Extensive Knowledge;Very Low;9;10;16;7;15;8;4;12;10;11;9;10;South Africa;R1 - Normandie - A;11;13;13;15;12;10;Sundowns;12;10;16;13;10;15;13;10;2;2;2;1;3;4;3;3;2;1;€450K - €1.3M;B-
;Yuki Soma;12-16;AM (L);Winger;Yes;M (L), AM (LC);17-20;15-19;2-8;9-13;11-15;11-15;3-9;11-15;3-9;12-16;B-;Heading;Unknown;;;Unknown;Speed;Russia;Very Strong;Japan;False;Weak;166 cm;28;Scouting Required;Minimal Knowledge;Very Low;4-8;13-17;7-11;1-4;11-15;7-11;1-3;9-15;13-17;14-18;9-13;11-17;Japan;J1 League;11-15;11-15;11-15;4-8;14-18;4-8;FC Machida;11-15;11-17;13-19;10-16;12-16;10-16;12-16;14-18;1-4;1-4;2-6;1-4;1-3;1-5;1-3;1-5;1-6;1;€140K - €1.4M;B-
;Teboho Mokoena;15;DM;Midfielder;Yes;DM, M (C);10;11;7;16;13;13;10;14;11;13;B-;Unknown;Unknown;;;Unknown;Speed;Cameroon;Very Strong;South Africa;False;Fairly Strong;176 cm;28;Extremely Good;Extensive Knowledge;Very Low;9;10;16;7;15;8;4;12;10;11;9;10;South Africa;South African Premiership;11;13;13;15;12;10;Sundowns;12;10;16;13;10;15;13;10;2;2;2;1;3;4;3;3;2;1;€450K - €1.3M;B-
;Brenden Aaronson;15;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;10;8;18;14;18;5;10;9;14;B-;Unknown;Unknown;;;Unknown;Unknown;Belgium;Very Strong;U.S.A.;False;Reasonable;177 cm;24;Very Good;Extensive Knowledge;Low;13;12;12;6;9;8;3;13;11;14;10;12;England;Second Division;17;16;11;9;17;8;;12;13;12;10;13;9;12;16;2;4;1;2;3;4;3;3;3;3;€24M - €30M;B-
;Gavin Bazunu;12;GK;Goalkeeper;Yes;GK;13;13;13;13;11;13;10;9;3;11;B-;Unknown;Unknown;;;Unknown;Handling;Nigeria;Very Strong;;True;Weak;189 cm;23;Fairly Good;Extensive Knowledge;Very High;1;1;13;2;1;8;13;11;1;3;3;5;England;Sky Bet Championship;11;12;12;11;12;7;;11;8;15;8;8;11;11;11;12;11;14;14;9;14;13;15;4;15;€15.5M - €23M;B-
;Nino;9-15;D (C);Centre-back;Yes;D (C);11-17;10-14;12-16;11-17;14-18;13-17;10-14;-;13-17;12-16;B-;Unknown;Unknown;;;Unknown;Marking;Congo;Very Strong;Brazil;False;Weak;188 cm;28;Scouting Required;Minimal Knowledge;Very Low;14-18;-;11-17;-;5-9;13-17;-;10-14;-;11-17;-;-;;National 3 - Group G;12-16;14-18;12-16;11-15;8-14;10-16;;11-15;-;11-15;14-18;8-14;12-16;13-19;10-14;-;-;-;-;-;-;-;-;-;-;€8.6M - €11M;B-
;Duje Ćaleta-Car;11;D (C);Powerful centre-back;Yes;D (C);10;15;15;14;11;14;16;8;14;10;B-;Unknown;Unknown;;;Unknown;Heading;Senegal;Very Strong;;True;Fairly Strong;193 cm;29;Fair;Extensive Knowledge;Above Average;14;8;11;8;9;17;3;13;6;8;5;5;Spain;First Division;14;14;11;15;6;11;;11;8;15;11;17;11;15;15;2;3;2;2;3;1;1;2;2;1;€7M - €8.6M;B-
Inj;Takumi Minamino;11-15;AM (L);Attacking midfielder;Yes;M (C), AM (RLC);16-20;13-17;6-12;10-14;11-15;12-16;4-10;8-12;6-12;13-17;B-;Unknown;Unknown;;;Unknown;Speed;DR Congo;Very Strong;Japan;False;Fairly Strong;172 cm;30;Scouting Required;Minimal Knowledge;Very High;5-9;10-14;10-14;1-7;10-14;5-9;1-3;10-16;10-14;14-18;8-12;8-14;France;Ligue 1 McDonald's;12-16;12-16;12-16;6-10;13-17;3-7;;8-12;12-18;11-17;12-18;8-12;8-14;14-18;12-16;1-4;1-3;1-3;1-4;1-3;1-6;1-5;2-6;1-5;1-2;€11.5M;B-
;Brenden Aaronson;15;AM (C);Attacking midfielder;Yes;M (C), AM (RLC);15;10;8;18;14;18;5;10;9;14;B-;Unknown;Unknown;;;Unknown;Unknown;Belgium;Very Strong;U.S.A.;False;Reasonable;177 cm;24;Very Good;Extensive Knowledge;Low;13;12;12;6;9;8;3;13;11;14;10;12;England;Second Division;17;16;11;9;17;8;Leeds;12;13;12;10;13;9;12;16;2;4;1;2;3;4;3;3;3;3;€24M - €30M;B-
;Gavin Bazunu;12;GK;Goalkeeper;Yes;GK;13;13;13;13;11;13;10;9;3;11;B-;Unknown;Unknown;;;Unknown;Handling;Nigeria;Very Strong;Ireland;True;Weak;189 cm;23;Fairly Good;Extensive Knowledge;Very High;1;1;13;2;1;8;13;11;1;3;3;5;England;Sky Bet Championship;11;12;12;11;12;7;Stoke;11;8;15;8;8;11;11;11;12;11;14;14;9;14;13;15;4;15;€15.5M - €23M;B-
;Nino;9-15;D (C);Centre-back;Yes;D (C);11-17;10-14;12-16;11-17;14-18;13-17;10-14;-;13-17;12-16;B-;Unknown;Unknown;;;Unknown;Marking;Congo;Very Strong;Brazil;False;Weak;188 cm;28;Scouting Required;Minimal Knowledge;Very Low;14-18;-;11-17;-;5-9;13-17;-;10-14;-;11-17;-;-;Russia;Premier League;12-16;14-18;12-16;11-15;8-14;10-16;Zenit;11-15;-;11-15;14-18;8-14;12-16;13-19;10-14;-;-;-;-;-;-;-;-;-;-;€8.6M - €11M;B-
;Duje Ćaleta-Car;11;D (C);Powerful centre-back;Yes;D (C);10;15;15;14;11;14;16;8;14;10;B-;Unknown;Unknown;;;Unknown;Heading;Senegal;Very Strong;Croatia;True;Fairly Strong;193 cm;29;Fair;Extensive Knowledge;Above Average;14;8;11;8;9;17;3;13;6;8;5;5;Spain;First Division;14;14;11;15;6;11;Real San Sebastián;11;8;15;11;17;11;15;15;2;3;2;2;3;1;1;2;2;1;€7M - €8.6M;B-
Inj;Takumi Minamino;11-15;AM (L);Attacking midfielder;Yes;M (C), AM (RLC);16-20;13-17;6-12;10-14;11-15;12-16;4-10;8-12;6-12;13-17;B-;Unknown;Unknown;;;Unknown;Speed;DR Congo;Very Strong;Japan;False;Fairly Strong;172 cm;30;Scouting Required;Minimal Knowledge;Very High;5-9;10-14;10-14;1-7;10-14;5-9;1-3;10-16;10-14;14-18;8-12;8-14;France;Ligue 1 McDonald's;12-16;12-16;12-16;6-10;13-17;3-7;AS Monaco;8-12;12-18;11-17;12-18;8-12;8-14;14-18;12-16;1-4;1-3;1-3;1-4;1-3;1-6;1-5;2-6;1-5;1-2;€11.5M;B-
Wnt;;13;D (R);Centre-back;Yes;D (RLC);12;12;13;13;13;13;12;6;14;11;;Unknown;Unknown;;;Unknown;Marking;Pays Basque;Very Strong;Spain;True;Fairly Strong;180 cm;23;Quite Good;Extensive Knowledge;Below Average;15;4;11;10;9;12;2;11;8;9;10;7;Spain;Saudi Premier Division;14;13;12;13;10;12;;12;9;15;13;12;13;15;13;1;3;3;2;1;3;3;2;2;1;€11M - €16.5M;Very Good
